"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"IDF-Systems/real_deal_mod.nlogo"
"Control"
"04/08/2025 08:52:31:546 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-55","55","-55","55"
"[run number]","stem-mean-contact-hours","sigma","extroversion-mean","max-society-difference","med-mean-contact-hours","extroversion-distribution","hum-mean-contact-hours","bus-contact-hour-distribution","hum-contact-hour-distribution","med-contact-hour-distribution","num-societies","bus-mean-contact-hours","general-hour-bonus","num-interests","stem-contact-hour-distribution","friendship-roll","min-interest-roll","[step]","count links"
"7","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","8","74"
"10","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","9","90"
"1","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","6","55"
"5","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","9","69"
"6","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","9","89"
"8","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","8","71"
"7","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","9","80"
"10","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","10","96"
"4","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","1","16"
"6","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","10","93"
"1","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","7","59"
"5","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","10","72"
"8","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","9","73"
"10","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","11","98"
"7","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","10","89"
"6","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","11","97"
"5","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","11","78"
"4","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","2","24"
"8","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","10","80"
"1","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","8","65"
"10","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","12","105"
"7","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","11","93"
"6","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","12","97"
"5","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","12","86"
"8","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","11","85"
"1","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","9","76"
"10","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","13","107"
"6","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","13","96"
"5","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","13","90"
"8","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","12","93"
"1","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","10","86"
"10","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","14","112"
"6","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","14","99"
"5","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","14","98"
"8","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","13","101"
"10","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","15","118"
"1","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","11","89"
"6","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","15","100"
"5","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","15","99"
"8","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","14","105"
"10","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","16","123"
"1","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","12","97"
"2","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","1","12"
"6","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","16","103"
"5","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","16","104"
"8","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","15","110"
"10","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","17","129"
"1","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","13","103"
"9","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","1","15"
"6","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","17","107"
"3","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","1","18"
"2","20","30","0.056","3.7","10","0.028","27","5","7","1","25","50","1.9","7","2","6.3","0.39","2","32"
